"wdhOak","SH","dist"
3.995,2.782,254.722398000625
2.984,2.699,79.285774913536
3.502,2.479,150.405794112016
3.68,2.483,183.39659776
3.537,2.594,156.509332516161
1.524,2.536,5.394359275776
3.664,2.683,180.227832610816
3.032,2.417,84.511690264576
2.861,2.388,66.999479873041
2.405,2.29,33.454945200625
2.563,2.217,43.151353722961
2.652,2.191,49.464551874816
1.977,1.996,15.276598943841
1.813,2.031,10.804165206961
1.814,2.119,10.828022035216
1.83,2.234,11.21513121
1.809,1.819,10.709131895361
1.886,1.846,12.652220544016
1.933,1.803,13.961350047121
2.009,1.856,16.289949838561
2.488,1.797,38.317882740736
2.967,1.999,77.494375941921
3.369,2.073,128.826154725921
3.345,1.998,125.194280450625
3.047,1.735,86.196536755681
3.128,1.726,95.734170259456
2.857,1.738,66.625573677601
2.582,1.62,44.445208892176
2.85,2.173,65.97500625
2.821,2.136,63.330416557681
2.535,2.006,41.296367750625
3.363,2.251,127.910874833361
3.344,2.225,125.044638416896
3.981,2.372,251.170546386321
3.426,1.782,137.768342850576
3.417,1.698,136.326383940321
3.376,1.648,129.900179685376
3.275,1.642,115.039031640625
3.247,1.597,111.155038774081
3.166,1.548,100.471674885136
3.078,1.415,89.758267639056
3.009,1.438,81.976382754561
2.979,1.473,78.755703062481
2.8,1.32,61.4656
2.756,1.026,57.692167127296
2.665,0.837,50.441599950625
2.572,0.832,43.760659353856
2.552,0.895,42.415313391616
2.447,0.931,35.853856620481
2.349,1.119,30.446127875601
2.408,1.262,33.622184759296
2.18,1.254,22.58530576
1.804,0.998,10.591223501056
1.735,1.016,9.061454550625
1.724,0.983,8.833830174976
1.454,1.354,4.469486461456
1.529,1.52,5.465500541281
1.52,1.796,5.33794816
1.999,1.344,15.968023992001
1.556,0.595,5.861899530496
2.453,0.492,36.206804149681
2.548,0.623,42.150011228416
2.874,0.702,68.225551535376
3.031,0.404,84.400252415521
3.19,1.33,103.55301121
3.231,1.293,108.980258088321
3.287,1.377,116.734389488161
3.344,1.35,125.044638416896
2.869,1.584,67.752011407921
2.99,1.6,79.92538801
2.775,1.61,59.299625390625
